usuarioId,restauranteId,puntuacion,fecha,comentario
U0001,R162,3,2020-05-14,Send set fly today me institution.
U0002,R025,5,2020-11-03,Policía julio economía título futuro.
U0002,R143,3,2020-06-15,Tonight later happy pull really within third could this beautiful.
U0002,R174,5,2023-09-21,Sería instituto hacer muchas ve necesidad.
U0002,R099,2,2021-12-17,Propios más dado acto reforma soy ambos efectos como social.
U0002,R073,3,2023-09-05,G económica éste dejar siete plazo capacidad.
U0002,R065,4,2020-09-21,Success knowledge fight car smile commercial employee machine wife show.
U0003,R080,4,2023-08-10,M existe aquí llama momentos verdad.
U0003,R144,3,2020-09-18,Estas ante niveles partidos primeros único.
U0004,R166,4,2022-11-07,Cambios partes imágenes entonces datos hicieron banco casa pero reforma.
U0004,R172,3,2020-02-07,Trabajar tal blanca alguien sociales reunión equipo aun septiembre.
U0005,R080,2,2021-04-08,Son rock two full both look.
U0005,R047,2,2020-11-13,Viene ante pero francisco nadie últimos.
U0005,R055,1,2021-08-28,Evitar muchos próximo práctica materia.
U0005,R088,1,2022-11-05,Hace parís existen constitución.
U0005,R197,5,2024-02-21,Create fish painting want training guess challenge take.
U0005,R125,5,2020-03-18,Policía verdad propia perdido temas durante fernando sector.
U0006,R197,2,2021-01-05,Sería puerto blanca espacio aun madrid respuesta gobierno parece.
U0006,R159,5,2020-12-05,Diversas uno estilo estuvo siempre dirección posibilidades especial cuya seguro.
U0006,R034,4,2020-03-30,Fin ningún palabra fue mira período.
U0006,R153,4,2022-01-16,Estudios puntos le que ojos instituto período pronto tomar.
U0006,R097,2,2022-06-28,Fueron violencia siquiera me doctor figura blanca favor tengo.
U0006,R040,5,2021-08-06,Cultura problemas radio animales vía policía conocimiento para carlos comunicación.
U0007,R060,5,2022-06-21,Visto realizar últimos qué creo ayuda club desde.
U0007,R137,4,2024-04-24,Buenos otro historia única doctor favor aquí real mal solución.
U0007,R062,3,2024-05-12,Políticas crecimiento sido cine distintos por dólares.
U0007,R080,4,2022-10-26,Demás toma sea usted jefe principios produce estudios francia.
U0007,R121,5,2022-05-07,Republican reduce sort individual trouble bring capital admit give reality.
U0007,R050,2,2021-02-12,Dicen domingo serán aquella seguro me cuba horas asunto.
U0007,R095,5,2020-10-10,Falta situación máximo medios serán estaba es.
U0007,R174,3,2020-04-16,Fue caso cuadro congreso todos les través uno tratamiento.
U0008,R096,2,2021-07-12,Toma aún abril cosas propia tanto.
U0008,R142,4,2022-11-17,We girl civil may rock drop now.
U0008,R027,2,2022-06-14,Serán varias vivir buscar personas texto en baja llama toma.
U0008,R183,1,2021-03-30,Hand operation keep whatever Congress great here Democrat dinner.
U0008,R133,4,2021-12-16,Ayer general están fecha ejército vamos dos mil.
U0008,R032,1,2022-04-29,Derecho cantidad cosa larga sector palabra cabeza ciencia.
U0008,R073,1,2022-03-22,Vio chile visita fuerza por.
U0008,R022,5,2022-02-04,Public how mission put budget house reason within scientist.
U0009,R099,1,2021-10-14,C dentro punto exterior minutos.
U0009,R021,1,2024-01-03,Baja dar viaje comunicación esos diciembre encuentro ciento nuevos.
U0009,R096,3,2020-10-26,Would memory challenge lawyer business majority discuss wall.
U0009,R058,2,2020-03-19,Finalmente s organización le cual.
U0010,R121,4,2022-07-07,Check perform benefit baby seem should society dark.
U0010,R179,5,2020-01-11,Make energy gas teacher national weight all involve trip.
U0010,R036,1,2020-02-08,Hemos zona movimiento este vamos oro nivel santa investigación.
U0010,R195,3,2021-03-17,Vivir efecto hacer trabajadores línea políticas miguel.
U0010,R181,2,2023-01-28,Salida sociales niños comunidad blanca francisco m perdido semana me.
U0011,R029,2,2022-05-09,Democracia empresa médico le socialista quiere.
U0011,R199,5,2022-07-25,Internacional últimos ahí sur final haciendo superior debía él.
U0011,R074,1,2020-08-15,Orden al paso visto oposición.
U0011,R061,4,2023-05-07,Top entire receive onto worry help hope occur space beyond.
