usuarioId,restauranteId,fechaVisita,consumo,conReserva
U0001,R022,2019-08-15,168.37,true
U0001,R153,2022-11-05,357.74,false
U0001,R116,2021-09-06,705.13,true
U0001,R067,2019-12-22,565.6,false
U0001,R073,2020-02-11,113.3,false
U0001,R047,2021-03-16,707.29,true
U0001,R006,2024-04-25,67.23,true
U0001,R023,2021-08-05,198.7,true
U0001,R013,2021-04-01,513.5,false
U0001,R039,2019-07-02,768.52,true
U0002,R031,2019-01-29,588.94,false
U0002,R198,2024-02-28,746.21,false
U0002,R031,2020-04-04,585.17,true
U0002,R069,2020-08-12,609.83,false
U0002,R034,2021-06-02,692.25,true
U0002,R073,2023-01-28,557.89,false
U0002,R047,2021-04-16,644.35,true
U0002,R075,2020-06-20,226.61,false
U0002,R064,2021-01-27,487.18,false
U0002,R022,2019-01-22,401.66,false
U0003,R102,2022-11-07,209.16,false
U0003,R182,2021-05-16,602.08,false
U0003,R019,2019-07-15,467.75,true
U0003,R086,2024-03-21,226.13,false
U0003,R156,2024-04-07,553.09,true
U0003,R002,2020-06-03,428.41,false
U0003,R078,2021-03-19,553.45,true
U0003,R144,2019-03-26,485.37,false
U0003,R044,2021-10-28,419.63,false
U0003,R120,2019-09-28,117.24,false
U0003,R037,2020-06-17,137.63,true
U0003,R033,2021-10-19,703.76,false
U0004,R093,2024-03-11,372.56,false
U0004,R157,2023-08-26,621.17,false
U0004,R133,2020-10-03,376.83,true
U0004,R081,2023-02-18,795.92,true
U0004,R143,2023-10-14,742.14,false
U0004,R014,2020-01-22,161.47,true
U0004,R047,2019-03-15,402.69,true
U0004,R181,2021-08-14,377.32,false
U0004,R011,2021-06-23,317.39,false
U0004,R118,2021-10-06,134.37,true
U0004,R032,2020-12-16,120.18,false
U0004,R047,2023-09-06,176.22,false
U0005,R170,2022-04-14,209.3,true
U0005,R135,2023-04-20,478.09,false
U0005,R020,2020-05-19,626.19,true
U0005,R085,2019-02-23,263.21,true
U0005,R101,2021-02-04,492.75,true
U0005,R083,2019-11-11,71.66,false
U0005,R182,2022-09-12,409.89,false
U0005,R153,2022-09-09,54.35,true
U0005,R168,2022-06-28,763.17,false
U0005,R188,2023-02-12,730.16,true
U0006,R013,2023-06-30,532.73,false
U0006,R015,2023-03-04,103.04,false
U0006,R024,2021-03-27,241.37,true
U0006,R198,2023-11-08,349.19,true
U0007,R042,2021-03-06,634.62,false
U0007,R166,2023-03-22,765.82,true
U0007,R031,2020-09-03,418.13,false
U0007,R189,2023-07-10,741.27,true
U0008,R171,2019-07-16,674.04,true
U0008,R126,2021-07-01,714.06,false
U0008,R069,2022-02-27,500.26,true
U0008,R194,2021-05-15,658.25,true
U0008,R112,2022-07-15,369.51,true
U0008,R132,2020-11-30,779.95,true
U0009,R176,2023-01-01,166.3,false
U0009,R135,2022-07-13,535.42,true
U0009,R075,2021-08-16,378.02,false
U0009,R077,2019-11-01,788.14,false
U0009,R064,2021-12-07,370.8,true
U0009,R142,2019-06-06,737.98,true
U0009,R131,2021-05-20,359.76,false
U0009,R170,2023-01-15,476.36,false
U0009,R091,2020-06-05,489.18,true
U0009,R030,2023-02-25,546.18,true
U0009,R047,2023-09-23,344.72,true
U0010,R181,2020-09-01,285.46,false
U0010,R194,2022-10-04,387.46,false
U0010,R088,2024-02-24,703.51,true
U0010,R055,2020-01-15,108.67,false
U0010,R173,2019-08-06,375.35,true
U0010,R002,2021-03-19,137.51,true
U0010,R168,2021-09-04,395.12,false
U0011,R191,2022-05-17,594.43,false
U0011,R159,2023-07-24,780.44,false
U0011,R177,2022-10-11,772.36,false
U0011,R078,2019-06-29,143.82,true
U0011,R049,2019-08-18,661.98,true
U0011,R007,2020-03-04,410.84,true
U0011,R167,2020-05-10,376.84,true
U0011,R023,2020-09-08,627.29,true
U0011,R122,2021-05-14,66.36,true
U0011,R040,2023-02-22,576.95,false
U0011,R121,2019-02-10,694.85,true
U0012,R076,2022-03-12,672.09,false
U0012,R014,2020-11-14,55.91,false
U0012,R107,2023-10-04,421.78,false
U0012,R010,2021-09-25,349.76,false
U0013,R183,2019-05-05,446.23,false
U0013,R148,2020-10-08,464.94,false
U0013,R166,2021-05-04,716.86,true
U0013,R127,2022-06-29,754.22,false
U0014,R179,2021-06-12,65.61,false
U0014,R186,2020-01-29,401.93,false
U0014,R060,2021-11-05,214.78,false
U0014,R155,2023-10-14,681.85,false
U0014,R034,2023-12-14,270.05,false
U0014,R107,2023-09-03,755.9,false
U0014,R121,2023-06-26,778.21,true
U0014,R160,2020-02-29,261.84,true
U0015,R124,2019-09-22,179.97,true
U0015,R156,2021-10-04,125.68,false
U0015,R127,2020-09-13,226.04,true
U0015,R005,2021-01-04,710.68,false
U0015,R174,2019-11-21,181.04,true
U0015,R017,2020-11-22,372.97,true
U0015,R031,2022-02-24,218.07,false
U0015,R088,2023-05-27,316.43,true
U0015,R198,2023-12-03,467.77,true
U0015,R177,2023-11-25,436.54,true
U0015,R181,2019-04-14,744.97,false
U0016,R194,2019-08-16,780.99,true
U0016,R144,2019-03-27,430.48,true
U0016,R162,2019-08-30,703.15,false
U0016,R041,2023-01-31,269.09,false
U0016,R196,2021-11-02,423.79,true
U0016,R040,2022-08-18,322.8,true
U0016,R032,2023-10-04,201.42,false
U0016,R197,2023-04-24,54.94,false
U0017,R074,2021-10-31,178.45,false
U0017,R096,2023-01-04,616.13,false
U0017,R162,2022-09-23,234.09,false
U0017,R059,2019-10-10,651.33,false
U0017,R105,2024-01-14,394.06,false
U0017,R008,2021-06-25,159.19,true
U0018,R133,2024-04-16,102.19,false
U0018,R081,2021-04-02,786.46,true
U0018,R112,2019-05-06,344.95,true
U0018,R170,2024-03-04,531.1,true
U0018,R162,2022-12-31,649.3,false
U0018,R108,2021-04-03,714.34,false
U0018,R185,2023-03-02,285.27,false
U0018,R003,2023-08-21,259.84,true
U0018,R180,2021-04-07,384.64,true
U0018,R140,2022-07-02,641.26,false
U0018,R179,2020-12-08,715.76,false
U0018,R199,2020-02-09,710.73,true
U0019,R138,2020-11-16,342.5,true
U0020,R139,2020-08-04,210.3,false
U0020,R134,2020-11-28,617.78,true
U0020,R006,2019-02-27,717.74,false
U0020,R062,2023-09-01,630.62,false
U0020,R130,2019-08-15,598.99,false
U0020,R067,2022-07-08,430.62,true
U0020,R013,2023-03-30,538.22,true
U0020,R115,2020-09-02,479.33,true
U0020,R117,2020-11-25,787.21,true
U0021,R077,2020-08-05,550.19,true
U0021,R183,2021-02-12,439.75,true
U0021,R027,2020-11-02,437.34,true
U0021,R200,2021-01-09,390.73,true
U0021,R183,2021-05-21,671.33,true
U0021,R024,2019-05-08,368.67,true
U0022,R055,2021-07-02,108.55,false
U0022,R151,2022-02-18,439.21,false
U0022,R068,2022-04-11,424.12,false
U0022,R113,2022-11-12,748.28,false
U0022,R188,2021-05-03,667.86,true
U0022,R130,2019-09-18,413.57,false
U0022,R034,2022-12-13,434.89,true
U0022,R178,2020-03-11,391.57,true
U0023,R041,2024-04-17,469.27,true
U0023,R155,2023-10-12,356.46,true
U0023,R095,2022-03-16,267.19,true
U0023,R031,2021-01-30,278.69,false
U0023,R078,2020-08-25,414.44,true
U0023,R037,2023-05-25,492.22,true
U0023,R079,2023-12-26,262.61,true
U0023,R190,2021-09-28,51.56,false
U0023,R018,2023-11-18,83.51,false
U0023,R147,2020-09-26,474.32,false
U0023,R097,2021-08-31,675.84,true
U0023,R196,2019-10-11,428.57,false
U0024,R171,2021-07-08,161.74,false
U0024,R023,2023-06-27,518.58,false
U0024,R100,2020-04-21,725.18,false
U0024,R139,2019-04-04,768.56,false
U0024,R189,2020-07-22,534.44,true
U0024,R182,2019-02-20,479.0,false
U0024,R144,2022-08-14,142.84,true
U0024,R050,2024-05-10,514.03,true
U0025,R134,2020-01-23,612.92,true
U0025,R031,2022-09-10,752.14,true
U0025,R005,2020-07-17,640.07,true
U0025,R181,2023-09-15,715.74,false
U0025,R022,2023-07-11,450.16,false
U0025,R103,2022-04-21,83.74,true
U0025,R088,2021-06-14,185.38,true
U0025,R136,2020-10-11,336.51,true
U0025,R030,2019-07-23,456.33,false
U0025,R037,2020-01-10,241.67,true
U0026,R079,2024-05-04,355.46,true
U0026,R016,2022-06-12,770.84,true
U0026,R007,2022-12-31,93.88,false
U0027,R082,2019-10-19,359.62,false
U0027,R067,2021-02-08,756.18,true
U0028,R052,2020-05-05,614.1,true
U0029,R131,2023-03-21,428.32,true
U0029,R069,2019-05-05,288.75,false
U0029,R017,2021-09-18,71.68,true
U0029,R005,2020-07-05,465.56,true
U0029,R064,2023-04-12,466.03,true
U0029,R078,2022-03-09,355.06,true
U0029,R163,2021-10-21,202.59,true
U0029,R096,2022-01-11,788.98,true
U0030,R109,2024-05-22,733.62,false
U0030,R011,2019-01-03,659.48,false
U0030,R168,2019-12-09,50.41,false
U0030,R070,2022-05-09,238.17,false
U0030,R090,2023-09-22,524.16,false
U0030,R012,2019-11-27,604.39,true
U0030,R077,2019-07-03,346.48,true
U0030,R036,2023-01-24,467.36,false
U0030,R111,2020-03-07,507.83,false
U0031,R088,2022-07-24,246.02,false
U0031,R070,2020-05-18,546.71,false
U0031,R088,2020-03-07,394.85,false
U0031,R005,2024-02-15,568.88,true
U0031,R156,2021-09-02,53.21,true
U0031,R173,2019-12-22,359.87,false
U0031,R196,2021-03-15,453.6,true
U0031,R138,2019-03-05,719.43,false
U0031,R173,2019-09-10,314.75,false
U0031,R154,2021-01-03,340.06,true
U0031,R032,2021-08-05,327.86,true
U0032,R003,2020-03-29,607.36,false
U0032,R175,2024-03-02,581.9,true
U0032,R024,2023-07-30,510.08,false
U0032,R184,2020-03-28,225.69,false
U0032,R093,2019-03-17,260.57,true
U0032,R002,2020-02-06,788.2,false
U0032,R029,2023-11-17,258.01,false
U0032,R044,2022-02-04,195.33,true
U0033,R151,2019-09-20,609.48,true
U0033,R067,2024-03-26,477.43,true
U0034,R187,2023-05-22,255.75,true
U0034,R178,2022-10-20,449.71,false
U0034,R175,2022-02-21,712.33,true
U0034,R110,2022-08-05,554.82,true
U0034,R083,2021-06-04,683.26,false
U0034,R071,2019-09-07,560.13,false
U0034,R127,2021-01-10,437.94,true
U0034,R185,2020-04-04,85.22,false
U0034,R137,2021-07-08,287.18,false
U0035,R086,2019-06-17,710.07,true
U0035,R189,2020-04-07,783.57,false
U0035,R020,2024-02-22,237.49,true
U0035,R085,2020-09-28,97.13,true
U0036,R123,2021-06-03,656.04,false
U0037,R064,2019-08-09,405.18,false
U0037,R014,2023-08-10,300.19,true
U0037,R019,2023-05-08,499.97,false
U0037,R196,2019-07-15,519.01,true
U0037,R022,2019-05-05,737.54,false
U0038,R178,2019-05-14,636.98,true
U0038,R114,2019-04-23,276.1,false
U0038,R017,2019-07-28,558.17,true
U0038,R076,2023-10-07,336.09,true
U0038,R159,2023-03-21,358.33,true
U0038,R117,2021-02-25,398.16,false
U0039,R159,2019-07-27,304.71,true
U0039,R117,2021-11-25,296.15,true
U0039,R028,2019-07-30,59.22,true
U0039,R152,2023-06-05,680.58,true
U0039,R164,2021-11-08,242.21,false
U0039,R124,2023-01-24,515.64,true
U0039,R063,2019-10-09,647.77,true
